gares,total_2018,latitude,longitude
COUZON AU MONT D'OR,40076,45.8486737,4.829478599999999
CRANSAC,3123,44.522951,2.2718666
CRAVANT BAZARNES,7305,47.6785079,3.6811741000000002
CREIL,4607122,49.263757,2.4692439
CREPY EN VALOIS,1683624,49.231235,2.8864693999999997
CREST,58015,44.730154600000006,5.0160968
CROIX SAINTE,3693,43.40883170000001,5.0196445
CROIX WASQUEHAL,6510,50.678557399999995,3.1380315
CROS DE CAGNES,173172,43.660465,7.167111
CUERS PIERREFEU,52377,43.236428100000005,6.0856855
CUGAND,11178,47.0582602,-1.253301
CULOZ,205156,45.843264000000005,5.778784
DANNEMARIE VELESMES,21128,47.2038599,5.8738348
DARDILLY LE JUBIN,39246,45.815143,4.7613451
DARDILLY LES MOUILLES,23723,45.796740899999996,4.7600288
DAX,864607,43.720471999999994,-1.050301
DECIZE,78441,46.837362,3.4672739999999997
DENAIN,32400,50.3345415,3.388699
DIE,48372,44.7582549,5.3632053
DIEPPE,502031,49.921788,1.081133
DIEUPENTALE,78002,43.8654687,1.2760011
DIGOIN,15496,46.4851604,3.9876537000000005
DIJON PORTE NEUVE,133230,47.322806,5.0548720000000005
DOL DE BRETAGNE,380495,48.54425,-1.750536
DOMBLANS VOITEUR,34199,46.7627809,5.5977462
DOMPIERRE,3117,50.146144,3.871144
DOMPIERRE SEPT FONS,15074,46.5263166,3.6749309
DON SAINGHIN,219480,50.551759999999994,2.91458
DONZERE,20780,44.4433646,4.7046262
DORDIVES,39301,48.1471796,2.7628787
DOUAI,2823221,50.371677000000005,3.089986
DRAP CANTARON,35806,43.7599599,7.3168739
DUNKERQUE,1663300,51.03047,2.368961
DURTOL NOHANENT,347,45.79477070000001,3.048557
EBBLINGHEM,27692,50.7306459,2.409148
ECHIROLLES,394714,45.153022,5.718943
ECOLE VALENTIN,5684,47.274983399999996,5.9944745
ECOMMOY,109312,47.824628600000004,0.2691867
ECULLY LA DEMI LUNE,203523,45.7657162,4.7795238
EGLETONS,31158,45.4023816,2.0651243000000004
EMBRUN,99029,44.567008,6.496773
EPERNON,1392274,48.6052471,1.6812578
ESTRESSIN,71330,45.540285,4.868273
ETALANS,43353,47.155884,6.2706173
ETANG,67299,46.8679082,4.1838415
ETAPLES LE TOUQUET,354757,50.51686,1.64231
ETRICHE CHATEAUNEUF,61562,47.656708200000004,-0.46089929999999996
EU,23158,50.054198799999995,1.4168370000000001
EVIAN LES BAINS,153441,46.397915000000005,6.577457000000001
EVRON,181310,48.155501,-0.397338
EYGURANDE MERLINES,1105,45.6453146,2.4610021
EYMOUTIERS VASSIVIERE,34357,45.7397876,1.7412237000000002
EZE,121230,43.7221842,7.3568031000000005
FECAMP,136324,49.759277000000004,0.375287
FEURS,166886,45.744156,4.230573000000001
FEYZIN,114000,45.6658584,4.853134900000001
FIGEAC,137170,44.603515,2.037355
FIRMINY,213812,45.391625,4.28643
FLERS,118812,48.744785,-0.573216
FLEURIEUX SUR L'ARBRESLE,121917,45.8449944,4.660381500000001
FLEURVILLE PONT DE VAUX,14616,46.450927899999996,4.8840722
FLEZ CUZY TANNAY,1032,47.3630583,3.6149926
FOECY,25818,47.1756905,2.1625062
FOIX,181705,42.969746,1.6071469999999999
FOLLIGNY,8596,48.8299461,-1.4072231000000002
FONTAN SAORGE,4716,43.996637799999995,7.5516262
FOS SUR MER,7327,43.428028999999995,4.974579
FOUCART ALVIMARE,7041,49.608289,0.5969601
FOUGERE,2123,46.6653044,-1.2319718000000002
FOURCHAMBAULT,14058,47.0189684,3.0873673
FOURMIES,175997,50.015409999999996,4.05357
FRANCHEVILLE,72127,45.7336473,4.7693729000000005
FRASNE,154920,46.857596,6.157767
FREJUS,188070,43.432032,6.732941
FRENOUVILLE CAGNY,15018,49.141119200000006,-0.2603256
FRESNOY LE GRAND,19992,49.950196399999996,3.4326800000000004
FRONTIGNAN,280570,43.444934,3.758689
FUTUROSCOPE,134012,46.669918,0.377209
GAILLAC,204085,43.905969,1.894855
GAILLON AUBEVOYE,492341,49.174626,1.3524610000000001
GAN,2131,43.2335932,-0.391462
GANNAT,81266,46.0975964,3.2047514
GAP,294714,44.563693,6.085637999999999
GARCHIZY,6,47.042998700000005,3.0858769
GARDANNE,414788,43.455991999999995,5.463332
GAZINET CESTAS,322331,44.772218,-0.69949
GENELARD,9809,46.5812177,4.2379964999999995
GENLIS,220044,47.244578999999995,5.223406
GENOLHAC,26077,44.3471626,3.9516407
GEVREY CHAMBERTIN,91622,47.2274694,4.999058
GIEN,116103,47.699088,2.636205
GIEVRES,49554,47.2787925,1.6678267
GIGNAC CRESSENSAC,436,45.014607399999996,1.4831648000000002
GILLY SUR LOIRE,2677,46.5370137,3.7821607000000004
GIMONT CAHUZAC,43555,43.633052500000005,0.8676246
GIVORS CANAL,51491,45.5957662,4.7725754
GOLFE JUAN VALLAURIS,315547,43.566501,7.0735779999999995
GONCELIN,337837,45.341941,5.974136
GORGES,103820,47.100148700000005,-1.3058778
GOURDON,84878,44.7419445,1.389237
GOURLAND,2325,48.560998100000006,-3.1668191
GRAGNAGUE,13357,43.696179,1.567731
GRAMAT,12205,44.7734284,1.7223028000000002
GRAND COMBE LA PISE,19328,44.209815899999995,4.0329591
GRANVILLE,209162,48.838456,-1.5877569999999999
GRASSE,260180,43.653317,6.925524
GRAVELINES,28939,50.978736,2.1232852
GRENOBLE,7057612,45.191493,5.714583999999999
GRENOBLE UNIVERSITES GIERES,618398,45.184877,5.78474
GRIGNY LE SABLON,71224,45.607260100000005,4.796144
GRISOLLES,76716,43.8269619,1.3023292
GROISY THORENS LA CAILLE,68730,46.011120500000004,6.175680000000001
GUERET,75117,46.174186299999995,1.8793855
GUETHARY,18887,43.425349100000005,-1.6098615
GUIGNICOURT,122047,49.434862,3.9613339999999995
GUINGAMP,636523,48.555659000000006,-3.143343
GUJAN MESTRAS,370600,44.640454,-1.0690600000000001
HAM,122867,49.73985,3.07052
HARFLEUR,4029,49.5136336,0.1989828
HARFLEUR HALTE,3871,49.5059181,0.19208499999999998
HAUBOURDIN,56343,50.6070495,2.990153
HAUTMONT,77176,50.25398,3.9152199999999997
HAZEBROUCK,1619445,50.72501,2.54129
HENDAYE,322527,43.353132,-1.781724
HENIN BEAUMONT,516610,50.41706,2.95211
HENNEBONT,99670,47.7990019,-3.2857467000000002
HERICOURT,124752,47.5729701,6.7691977
HIRSON,102033,49.91455,4.08432
HOULGATE,12321,49.300071100000004,-0.07722760000000001
HYERES,454827,43.108867,6.124223000000001
IMPHY,38022,46.9333537,3.2597112999999998
INGRANDES SUR LOIRE,56089,47.405638200000006,-0.9210198
IS SUR TILLE,154136,47.520454,5.129481
ISSOIRE,424410,45.543884000000006,3.25398
ISSOUDUN,163340,46.948763,1.985834
ISTRES,54825,43.515395299999994,4.9804272
JACQUES MONOD LA DEMI LIEUE,5428,49.526959600000005,0.18614679999999997
JANZE,159868,47.955364,-1.4975379999999998
JARRIE VIZILLE,12850,45.085454299999995,5.7424487
JAUNAY CLAN,24999,46.682044,0.3816535
